frame,time_s,x,y
0,0.0,649.0,847.0
1,0.03333333333333333,649.0,847.0
2,0.06666666666666667,650.0,847.0
3,0.1,649.0,847.0
4,0.13333333333333333,649.0,847.0
5,0.16666666666666666,650.0,848.0
6,0.2,650.0,848.0
7,0.23333333333333334,649.0,847.0
8,0.26666666666666666,650.0,847.0
9,0.3,650.0,846.0
10,0.3333333333333333,650.0,847.0
11,0.36666666666666664,651.0,848.0
12,0.4,650.0,847.0
13,0.43333333333333335,649.0,847.0
14,0.4666666666666667,651.0,847.0
15,0.5,650.0,848.0
16,0.5333333333333333,649.0,847.0
17,0.5666666666666667,650.0,848.0
18,0.6,650.0,849.0
19,0.6333333333333333,649.0,849.0
20,0.6666666666666666,650.0,847.0
21,0.7,651.0,849.0
22,0.7333333333333333,650.0,848.0
23,0.7666666666666667,650.0,849.0
24,0.8,650.0,848.0
25,0.8333333333333334,650.0,847.0
26,0.8666666666666667,650.0,848.0
27,0.9,651.0,849.0
28,0.9333333333333333,649.0,846.0
29,0.9666666666666667,650.0,847.0
30,1.0,650.0,848.0
31,1.0333333333333334,650.0,847.0
32,1.0666666666666667,648.0,848.0
33,1.1,650.0,848.0
34,1.1333333333333333,650.0,847.0
35,1.1666666666666667,650.0,848.0
36,1.2,650.0,848.0
37,1.2333333333333334,649.0,847.0
38,1.2666666666666666,650.0,847.0
39,1.3,650.0,848.0
40,1.3333333333333333,649.0,847.0
41,1.3666666666666667,650.0,847.0
42,1.4,650.0,848.0
43,1.4333333333333333,649.0,848.0
44,1.4666666666666666,650.0,848.0
45,1.5,650.0,848.0
46,1.5333333333333334,649.0,847.0
47,1.5666666666666667,650.0,847.0
48,1.6,650.0,848.0
49,1.6333333333333333,649.0,847.0
50,1.6666666666666667,651.0,849.0
51,1.7,650.0,848.0
52,1.7333333333333334,649.0,847.0
53,1.7666666666666666,650.0,848.0
54,1.8,649.0,848.0
55,1.8333333333333333,649.0,847.0
56,1.8666666666666667,651.0,847.0
57,1.9,649.0,847.0
58,1.9333333333333333,649.0,845.0
59,1.9666666666666666,650.0,847.0
60,2.0,650.0,847.0
61,2.033333333333333,649.0,847.0
62,2.066666666666667,650.0,847.0
63,2.1,650.0,847.0
64,2.1333333333333333,649.0,846.0
65,2.1666666666666665,650.0,846.0
66,2.2,649.0,847.0
67,2.2333333333333334,649.0,846.0
68,2.2666666666666666,651.0,847.0
69,2.3,654.0,846.0
70,2.3333333333333335,658.0,846.0
71,2.3666666666666667,656.0,846.0
72,2.4,648.0,847.0
73,2.433333333333333,631.0,846.0
74,2.466666666666667,610.0,844.0
75,2.5,584.0,841.0
76,2.533333333333333,557.0,834.0
77,2.566666666666667,531.0,827.0
78,2.6,502.0,813.0
79,2.6333333333333333,476.0,800.0
80,2.6666666666666665,452.0,784.0
81,2.7,429.0,767.0
82,2.7333333333333334,410.0,749.0
83,2.7666666666666666,394.0,731.0
84,2.8,379.0,712.0
85,2.8333333333333335,365.0,693.0
86,2.8666666666666667,352.0,674.0
87,2.9,343.0,656.0
88,2.933333333333333,337.0,640.0
89,2.966666666666667,328.0,621.0
90,3.0,323.0,603.0
91,3.033333333333333,319.0,587.0
92,3.066666666666667,314.0,570.0
93,3.1,313.0,553.0
94,3.1333333333333333,310.0,534.0
95,3.1666666666666665,311.0,518.0
96,3.2,,
97,3.2333333333333334,311.0,484.0
98,3.2666666666666666,313.0,467.0
99,3.3,315.0,450.0
100,3.3333333333333335,319.0,434.0
101,3.3666666666666667,322.0,419.0
102,3.4,326.0,405.0
103,3.433333333333333,331.0,391.0
104,3.466666666666667,335.0,382.0
105,3.5,339.0,373.0
106,3.533333333333333,341.0,366.0
107,3.566666666666667,345.0,360.0
108,3.6,347.0,357.0
109,3.6333333333333333,348.0,356.0
110,3.6666666666666665,346.0,358.0
111,3.7,346.0,359.0
112,3.7333333333333334,345.0,362.0
113,3.7666666666666666,345.0,363.0
114,3.8,344.0,364.0
115,3.8333333333333335,345.0,363.0
116,3.8666666666666667,345.0,363.0
117,3.9,345.0,364.0
118,3.933333333333333,344.0,364.0
119,3.966666666666667,345.0,363.0
120,4.0,344.0,363.0
121,4.033333333333333,345.0,362.0
122,4.066666666666666,345.0,362.0
123,4.1,344.0,364.0
124,4.133333333333334,345.0,364.0
125,4.166666666666667,345.0,364.0
126,4.2,343.0,363.0
127,4.233333333333333,344.0,364.0
128,4.266666666666667,345.0,364.0
129,4.3,344.0,365.0
130,4.333333333333333,343.0,364.0
131,4.366666666666666,344.0,363.0
132,4.4,,
133,4.433333333333334,343.0,364.0
134,4.466666666666667,343.0,365.0
135,4.5,342.0,367.0
136,4.533333333333333,341.0,367.0
137,4.566666666666666,341.0,368.0
138,4.6,339.0,368.0
139,4.633333333333334,341.0,370.0
140,4.666666666666667,340.0,370.0
141,4.7,341.0,370.0
142,4.733333333333333,341.0,372.0
143,4.766666666666667,341.0,371.0
144,4.8,340.0,371.0
145,4.833333333333333,341.0,372.0
146,4.866666666666666,340.0,372.0
147,4.9,340.0,371.0
148,4.933333333333334,341.0,372.0
149,4.966666666666667,340.0,372.0
150,5.0,340.0,370.0
151,5.033333333333333,341.0,369.0
152,5.066666666666666,341.0,368.0
153,5.1,341.0,366.0
154,5.133333333333334,342.0,368.0
155,5.166666666666667,341.0,368.0
156,5.2,342.0,367.0
157,5.233333333333333,341.0,367.0
158,5.266666666666667,341.0,367.0
159,5.3,342.0,367.0
160,5.333333333333333,342.0,366.0
161,5.366666666666666,342.0,366.0
162,5.4,343.0,366.0
163,5.433333333333334,342.0,365.0
164,5.466666666666667,343.0,365.0
165,5.5,343.0,365.0
166,5.533333333333333,343.0,364.0
167,5.566666666666666,343.0,364.0
168,5.6,342.0,364.0
169,5.633333333333334,345.0,364.0
170,5.666666666666667,345.0,364.0
171,5.7,342.0,364.0
172,5.733333333333333,345.0,363.0
173,5.766666666666667,344.0,364.0
174,5.8,,
175,5.833333333333333,346.0,364.0
176,5.866666666666666,345.0,363.0
177,5.9,345.0,364.0
178,5.933333333333334,340.0,371.0
179,5.966666666666667,329.0,398.0
180,6.0,316.0,443.0
181,6.033333333333333,310.0,512.0
182,6.066666666666666,323.0,599.0
183,6.1,368.0,699.0
184,6.133333333333334,470.0,796.0
185,6.166666666666667,607.0,844.0
186,6.2,742.0,832.0
187,6.233333333333333,852.0,774.0
188,6.266666666666667,921.0,703.0
189,6.3,950.0,653.0
190,6.333333333333333,955.0,643.0
191,6.366666666666666,960.0,636.0
192,6.4,964.0,616.0
193,6.433333333333334,974.0,586.0
194,6.466666666666667,979.0,558.0
195,6.5,979.0,554.0
196,6.533333333333333,,
197,6.566666666666666,938.0,675.0
198,6.6,861.0,767.0
199,6.633333333333334,,
200,6.666666666666667,674.0,844.0
201,6.7,,
202,6.733333333333333,476.0,801.0
203,6.766666666666667,,
204,6.8,361.0,687.0
205,6.833333333333333,326.0,618.0
206,6.866666666666666,312.0,547.0
207,6.9,312.0,514.0
208,6.933333333333334,311.0,522.0
209,6.966666666666667,316.0,567.0
210,7.0,338.0,643.0
211,7.033333333333333,395.0,732.0
212,7.066666666666666,,
213,7.1,611.0,843.0
214,7.133333333333334,735.0,834.0
215,7.166666666666667,821.0,796.0
216,7.2,849.0,777.0
217,7.233333333333333,833.0,788.0
218,7.266666666666667,843.0,781.0
219,7.3,884.0,747.0
220,7.333333333333333,926.0,695.0
221,7.366666666666666,942.0,668.0
222,7.4,929.0,691.0
223,7.433333333333334,874.0,758.0
224,7.466666666666667,811.0,802.0
225,7.5,768.0,822.0
226,7.533333333333333,734.0,834.0
227,7.566666666666666,679.0,844.0
228,7.6,584.0,840.0
229,7.633333333333334,476.0,800.0
230,7.666666666666667,427.0,763.0
231,7.7,416.0,753.0
232,7.733333333333333,419.0,757.0
233,7.766666666666667,412.0,751.0
234,7.8,389.0,727.0
235,7.833333333333333,367.0,695.0
236,7.866666666666666,371.0,704.0
237,7.9,411.0,751.0
238,7.933333333333334,491.0,808.0
239,7.966666666666667,599.0,843.0
240,8.0,717.0,839.0
241,8.033333333333333,820.0,798.0
242,8.066666666666666,896.0,735.0
243,8.1,943.0,665.0
244,8.133333333333333,968.0,607.0
245,8.166666666666666,976.0,568.0
246,8.2,979.0,555.0
247,8.233333333333333,977.0,569.0
248,8.266666666666667,967.0,610.0
249,8.3,937.0,677.0
250,8.333333333333334,876.0,757.0
251,8.366666666666667,792.0,811.0
252,8.4,697.0,842.0
253,8.433333333333334,594.0,841.0
